timestamp,account_id,role_name,stage,operation,error_type,error_message
2026-06-16T07:21:02.883920,738759745978,CK-Jenkins-Test-App-05,DELETE,DELETE_ROLE,AccessDenied,An error occurred (AccessDenied) when calling the DeleteRole operation: User: arn:aws:sts::738759745978:assumed-role/iam-role-cleaner/cleanup-738759745978 is not authorized to perform: iam:DeleteRole on resource: role CK-Jenkins-Test-App-05 because no identity-based policy allows the iam:DeleteRole action
2026-06-16T07:21:03.906831,738759745978,CK-Jenkins-Test-App-02,DELETE,DELETE_ROLE,AccessDenied,An error occurred (AccessDenied) when calling the DeleteRole operation: User: arn:aws:sts::738759745978:assumed-role/iam-role-cleaner/cleanup-738759745978 is not authorized to perform: iam:DeleteRole on resource: role CK-Jenkins-Test-App-02 because no identity-based policy allows the iam:DeleteRole action
